Gene name,Log2(Fold expression) (Atxn1-154Q vs. WT),Fold Expression (Atxn1-154Q vs. WT)
Cobl,-1.33875,0.39536368
Meis1,0.388222,1.308779818
Ccdc85a,-0.518786,0.697958675
Rhbdf1,0.399305,1.318872617
Kcnip1,-0.596773,0.661229111
Nipal4,-0.533445,0.690902296
Irgm1,0.47998,1.394727038
Jade2,-0.338399,0.790916496
Slc36a2,-1.37867,0.38457366
Glra1,-1.7148,0.304644664
Hs3st3b1,-1.26515,0.416055503
Shisa6,-0.313527,0.804672032
Efnb3,-0.441543,0.736347066
Polr2a,0.466997,1.382228792
"Fgf11,Tmem102",-0.480208,0.716871013
6330403K07Rik,-1.48363,0.357587384
Pitpnm3,-0.343286,0.788243098
Spns2,-0.535414,0.689959526
Aspa,-0.405481,0.754983713
Abr,-0.36321,0.777432176
Wsb1,0.371668,1.293847595
Nog,-0.711239,0.610795045
"4932411E22Rik,Ankfn1",-1.00371,0.498714375
Hlf,-0.51216,0.701171863
Nxph3,-0.710661,0.611040423
E130012A19Rik,-0.795127,0.576293324
Plxdc1,-0.509675,0.702380133
Stac2,-0.892507,0.538677733
Hap1,-0.784889,0.580394956
Vat1,-0.477698,0.718121341
Gfap,-0.373446,0.77193657
Pitpnc1,-0.370684,0.773415305
Cacng4,0.395946,1.315812079
Ush1g,-1.01977,0.493195559
Unc13d,-1.2755,0.413079913
Evpl,-0.894378,0.537978906
"Foxj1,Rnf157",-0.385758,0.765375742
Socs3,0.805456,1.747699928
Timp2,-0.908004,0.532921705
Cbx8,0.615459,1.532047383
Cbx4,0.557906,1.472126757
Tbc1d16,0.432152,1.349241138
Notum,-0.644791,0.639585388
Ntsr2,-0.391533,0.762319663
Hpcal1,-0.493187,0.710455778
Pxdn,-0.471515,0.721205645
Sstr1,-1.43992,0.368587025
Lrfn5,-0.606376,0.656844354
Galnt16,-0.529499,0.692796408
Plekhd1,-0.308982,0.80721301
Rgs6,-0.40744,0.75396027
Fos,0.525102,1.439041483
Tmem63c,0.30582,1.236119131
Kcnk13,-0.483284,0.715345137
Slc24a4,-1.19124,0.437924387
Serpina3n,-1.00614,0.497875174
D430019H16Rik,-1.6297,0.323156115
Hhipl1,-0.93641,0.522530773
Cyp46a1,-0.391351,0.762413396
Dlk1,-2.29755,0.203408804
A230065H16Rik,-2.8724,0.136559346
Adssl1,-0.398242,0.758785202
Vipr2,-0.550001,0.683019682
Rapgef5,-0.383807,0.766412732
Tmem196,-0.532402,0.691403329
Kcns3,-0.956384,0.515346544
Kcnf1,-0.979509,0.507153005
1700030C10Rik,-1.57889,0.334738563
2410018L13Rik,-0.716577,0.6085384
Cys1,-0.654562,0.635267384
Rsad2,0.920181,1.892348485
Gm9866,-0.831114,0.562095563
Prkar2b,-0.556337,0.680027023
Stxbp6,-1.14086,0.453488121
4930447C04Rik,-1.01117,0.49614546
Kcnh5,-2.31486,0.200982498
Plekhd1os,-1.09201,0.469106922
Slc8a3,0.394794,1.314763123
Ltbp2,0.350561,1.275058393
Tgfb3,0.524748,1.43868347
Ngb,-2.98566,0.126248263
Prima1,-0.628999,0.646626523
Serpina9,-0.811441,0.569811657
Clmn,-0.403712,0.755913146
Bcl11b,-1.78754,0.289667145
Slc25a29,-0.624208,0.648775212
Begain,-0.809567,0.570555277
Tmem179,-1.06836,0.476862456
Dnah11,-0.896381,0.537232177
Gng4,-0.659709,0.633007127
Sfrp4,0.981723,1.974817678
Fam65b,-0.498502,0.707841476
D130043K22Rik,-0.546764,0.684551558
Gm5083,-0.859591,0.551109838
Id4,-0.447257,0.733436838
Hrh2,-0.934143,0.523353076
1700001L19Rik,-1.29543,0.407414695
Irx2,-0.586632,0.665895586
Tppp,-0.316915,0.802785176
Mctp1,0.323118,1.251032615
"C130071C03Rik,Mir9-2",0.376688,1.298360586
Edil3,-0.331682,0.794609236
Hapln1,-0.733842,0.601301687
Lhfpl2,0.468762,1.383918646
Enc1,-2.25675,0.209242086
Htr1a,-3.70526,0.076666614
Chrm3,-1.73615,0.300170095
Ryr2,0.36917,1.291606551
"Prl2c3,Prl2c4",-1.29568,0.407342053
Nrsn1,-0.742512,0.597697795
Sox4,0.4403,1.356885267
E2f3,0.365563,1.288382858
Serpinb1a,-0.415957,0.749522216
Elovl2,0.361409,1.284676379
A330076C08Rik,-0.803317,0.573031262
Shc3,-0.573701,0.6718936
Tifab,-0.829939,0.56255295
6720489N17Rik,-0.73423,0.601138093
Adcy2,-0.334385,0.793123505
Gm20554,-0.845651,0.556459438
Nkd2,-1.31547,0.401796087
Rasgrf2,-2.54759,0.171040735
F2r,-0.530836,0.692154049
Sv2c,0.428781,1.346094705
Cartpt,-3.32139,0.100036883
Map3k1,0.327409,1.254757569
Synpr,1.02051,2.028636891
Arhgap22,-0.897578,0.536788369
Rem2,0.502872,1.417029507
Cpne6,-2.29691,0.203497542
Nynrin,-0.394172,0.760925472
Clu,-0.295968,0.814525922
Pnma2,-0.876171,0.544811227
Ebf2,-0.434684,0.739856828
Nefl,-0.413274,0.750920036
Stc1,-1.92526,0.263294223
Egr3,-2.56355,0.169158872
Htr2a,-1.3596,0.389691135
Kctd4,-0.750589,0.594361202
Pcdh17,-0.315564,0.803537939
Gpc5,-0.9328,0.523840503
Ipo5,-0.310748,0.806224251
Gm5087,1.41136,2.659876973
Camk2g,-0.384467,0.766062841
Itih3,-0.432038,0.741215384
Dnah1,-1.66617,0.315087838
Sncg,-1.22906,0.426595945
Cdhr1,-3.06492,0.1195
Slc35f4,-0.744531,0.59686277
Slc7a8,0.320346,1.248629832
Dleu7,-0.803945,0.572777248
Pnoc,-0.847401,0.555786965
Ptk2b,-1.62746,0.323657273
Nefm,-0.448091,0.733012686
Rhobtb2,-0.586644,0.665891064
Pdlim2,-0.745135,0.596610523
Dgkh,-0.563708,0.676560947
Lect1,-0.793522,0.57693433
Pcdh8,-0.875861,0.54493024
Klhl1,-1.09591,0.467839079
Kctd12,-0.717863,0.607997106
Pou4f1,-3.65448,0.079413306
Slitrk6,-2.1081,0.231953029
Cdh9,-2.04206,0.242817213
Dap,-0.497276,0.70844337
Matn2,-0.611584,0.654480343
Erich5,-2.155,0.224533166
Zfpm2,0.454879,1.370662938
Trhr,-1.85658,0.27613012
Mal2,-1.21534,0.43067111
Khdrbs3,-0.408966,0.753165239
Mchr1,-2.0793,0.236629677
Tef,-0.324443,0.798607731
1500009C09Rik,-0.442221,0.736001685
Mpped1,-1.34769,0.392920456
Pnpla3,0.478736,1.393522554
"Mirlet7b,Mirlet7bhg,Mirlet7c-2",0.533763,1.447693737
Pdzrn4,-0.782485,0.581364116
9430014N10Rik,-1.68471,0.31106401
Ccdc184,-0.517616,0.69852613
Prph,-2.53016,0.173119728
"Aqp5,Aqp6",-0.38798,0.764198721
Gpd1,0.291538,1.223944576
Hoxc4,-2.58909,0.166190301
Pde1b,-0.422864,0.745943037
Rxfp3,-2.51962,0.174388179
Pdzd2,-0.439689,0.737294935
Cdh6,-0.739622,0.598898836
Basp1,-1.46554,0.362100047
Ncald,0.366254,1.289002409
Angpt1,0.525264,1.439197992
Tnfrsf11b,0.607216,1.5233155
Sntb1,-0.886904,0.540772153
Lrrc6,-1.72617,0.302254266
St3gal1,-1.07416,0.474948522
"Mir30b,Mir30d",-3.52645,0.086782536
Mroh5,-0.707527,0.612368975
Ly6h,-0.767039,0.587622707
Mafa,-2.04156,0.242900797
Sstr3,0.40334,1.322567374
Elfn2,-0.840188,0.558571498
Sox10,-0.344656,0.78748988
Kcnj4,-1.59011,0.33214684
1810041L15Rik,-0.735429,0.600638476
Prickle1,-0.377231,0.769915115
Ddn,-3.21126,0.107972638
C1ql4,-4.09189,0.058643362
Faim2,-0.293466,0.815936987
Rmi2,-0.915307,0.53023065
Shisa9,-0.473842,0.720044891
Efcab1,-1.02584,0.491123288
Ephb3,-0.620002,0.650672344
Il1rap,-0.399339,0.75820553
Ostn,-1.93181,0.262099701
Bdh1,0.305183,1.235574176
Sema5b,-0.675684,0.626032434
Cblb,0.42435,1.341966799
Cmss1,-0.600649,0.659456962
Vgll3,-1.63361,0.322281892
Olig1,-0.297191,0.813835058
Pcp4,-0.642315,0.640685052
Srl,-0.617498,0.651799554
Nmral1,-0.524519,0.695189999
Tekt5,-1.90042,0.267865335
Sst,-3.35166,0.097959949
Mb21d2,0.45114,1.367116652
Kalrn,-0.569937,0.673646938
Parp14,0.540427,1.454403926
Bbx,0.300209,1.231322656
Epha3,0.401794,1.321147512
Robo2,-0.586427,0.665990344
Prr18,-0.510122,0.702161626
Lix1,-0.781734,0.581667749
Has1,-0.568803,0.674175567
Gng13,-0.826379,0.563942393
Neurl1b,-1.11784,0.460782838
Brpf3,0.388784,1.30928912
Cdkn1a,0.397812,1.317510122
Pi16,-1.04023,0.486248892
Pde9a,-0.310772,0.806209495
Clic1,0.399979,1.319488586
Rnf39,0.756557,1.689454851
Gabbr1,-0.352979,0.782966124
Tnfrsf21,-0.48441,0.714786302
Rcan2,-0.513331,0.70060286
Trerf1,-0.581161,0.668427642
Lrfn2,-2.35558,0.195389017
St6gal2,-0.752874,0.593421152
Tmem200c,-0.580654,0.668658817
Clip4,-0.386967,0.764738299
Qpct,-0.800184,0.574275057
Arhgef33,-0.495358,0.709384961
Foxn2,0.297138,1.228702871
"Tmem181b-ps,Tmem181c-ps",0.303386,1.234035236
Dact2,-0.537071,0.689168637
Baiap3,-3.57418,0.083958726
Cacna1h,-1.39838,0.379355121
Nhlrc4,0.837697,1.787187698
Arhgdig,-1.40047,0.378805452
Grm4,-0.651105,0.636792243
4930539E08Rik,-3.55394,0.085144512
Cpne5,-4.1194,0.057535689
Sik1,-0.573391,0.672037249
Mog,-0.500135,0.707041339
Mdfi,-1.54132,0.343570871
Daam2,-0.615623,0.652646488
Satb1,0.348229,1.272999458
Slc5a7,-2.28053,0.20582189
Stap2,-0.841931,0.557896937
Ptprm,-0.392885,0.761606806
Alk,-1.70749,0.306191673
Galnt14,-1.08403,0.471709141
Atl2,-0.514929,0.69982649
Six3os1,-7.62737,0.005057479
Cables1,-0.374623,0.771307221
Impact,-0.367703,0.775015485
Psd2,-0.344087,0.787806593
Arhgap26,-0.368859,0.774394141
Kctd16,-1.00007,0.499974096
A730017C20Rik,-1.08434,0.471606299
Chsy3,-1.50686,0.351876403
Camk2a,-0.98972,0.503576229
Htr4,-2.25559,0.209411387
Grp,-2.71131,0.152691634
Tcf4,0.299401,1.230633878
Zbtb7c,-1.74919,0.297468524
Pard6g,0.399718,1.319250507
Mbp,-0.461914,0.726020993
Neto1,-1.07778,0.473758465
Cbln2,-4.29298,0.051013595
Zfp521,0.363517,1.286555332
Dsc2,0.910814,1.880105019
Gpr17,-0.397895,0.758964642
Epb4.1l4a,-0.765875,0.588096275
Fgf1,-0.379761,0.768564341
Trim36,-0.472953,0.720487989
Synpo,-0.800586,0.574116493
Slc6a7,-0.907408,0.533143642
Ablim3,0.408064,1.326902053
Cep76,-0.53168,0.6917496
Rab27b,-0.815344,0.568272313
Dcc,-0.929132,0.525174268
Slc14a1,-0.375907,0.770621362
Setbp1,0.287993,1.220939742
Sall3,-1.1865,0.439366618
Dok6,-0.690117,0.619803308
Cdc42bpg,0.410007,1.32869514
Rasgrp2,-1.57168,0.336416062
Rcor2,-1.05566,0.481078499
Chrm1,-1.48934,0.356176575
Fads1,-0.326765,0.797321347
Tmem2,0.324702,1.252405988
Il33,-0.686801,0.621230183
Ifit1,0.88934,1.852333114
Dusp5,-0.733167,0.601581299
Adra2a,-0.483457,0.715260885
Tcf7l2,-3.24749,0.105294738
Plcb3,-0.897853,0.536686463
Fads2,-0.324616,0.798512455
Myrf,-0.397643,0.759096895
Dagla,-0.669547,0.628702571
Gcnt1,-1.56206,0.33866861
Rorb,-0.492977,0.710558666
Gda,-3.07527,0.118645476
Asah2,-0.761571,0.589852997
Htr7,-1.55397,0.340571191
Ppp1r3c,-0.34911,0.785068307
Opalin,-0.927987,0.525591907
Slit1,-2.70109,0.153776785
Sfrp5,-2.42896,0.18569868
Crtac1,-1.41029,0.376238105
Scd1,-0.397572,0.759134846
Kcnip2,-2.62465,0.162144751
Psd,-0.455677,0.729166334
Sorcs1,-0.363885,0.777070421
5830416P10Rik,-1.60434,0.328884776
Gfra1,-1.42713,0.371870537
Hspa12a,-0.320415,0.800841453
Fam107b,-0.687824,0.620790434
Cacnb2,-0.4821,0.715935119
Gpr158,0.374507,1.29639665
Nsmf,-0.323583,0.799084397
Nrarp,-0.545191,0.685302322
Entpd2,-0.967531,0.511380867
Rxra,-0.406809,0.754289943
Col5a1,-0.512669,0.700925687
Ass1,-0.684233,0.622338442
Sh2d3c,0.359855,1.28329522
C130021I20Rik,-1.53909,0.344103967
Lhx2,-3.25512,0.104738975
Epc2,0.314401,1.24349377
Lypd6b,-1.88454,0.270830691
Mybpc3,-0.533885,0.69069201
Chst1,-0.529245,0.692915707
Cd59a,-0.416115,0.749439613
Pax6,0.483208,1.397847258
Kcna4,-0.855774,0.552568193
Pak6,-1.65854,0.316759625
Gchfr,-0.937132,0.522271658
1700020I14Rik,0.390128,1.310512743
Itpka,-0.415789,0.749610136
Fgf7,-0.577165,0.670278879
Slc27a2,-0.987696,0.504282451
Fbln7,-0.525165,0.694878884
Slc20a1,-0.347656,0.785859361
Lamp5,-1.27469,0.413313114
Pcsk2,-0.288853,0.818553579
Insm1,-1.18175,0.440815714
Nnat,-0.643128,0.640322713
Vstm2l,-0.988141,0.504128755
Ppp1r16b,-0.550999,0.682547158
Tox2,-1.43517,0.369801405
Tshz2,-1.22896,0.426624177
Fam217b,-0.386703,0.764875968
Oprl1,-0.806706,0.571686124
Camk1d,-0.452731,0.730662932
Proser2,0.566507,1.480936014
Gata3,-4.05169,0.060300476
Pfkfb3,-0.363716,0.777161575
C1ql3,-0.503998,0.705152968
St8sia6,-0.797138,0.575490247
4932418E24Rik,-0.740942,0.598348468
Ier5l,-1.05622,0.480892771
1700001O22Rik,-1.33235,0.397122558
Fibcd1,-3.73051,0.075336454
Slc25a25,-0.320841,0.800602617
Garnl3,-0.295241,0.8149368
Lmx1b,-1.98053,0.253396309
Lrp1b,0.510626,1.424671493
Neb,-0.365827,0.776021541
Ermn,-0.461761,0.726098285
Scn7a,-1.37005,0.38688002
Chn1,-0.612141,0.654224219
Pde11a,-2.68362,0.155650254
Pde1a,-0.525972,0.694490343
Lrrc55,-0.73268,0.601788026
Ptprj,0.359489,1.282969194
"Mir129-2,Mir670",0.663856,1.584312554
Chrm5,-1.38641,0.382515022
Meis2,-2.01657,0.247146317
Ankrd63,-3.10452,0.116264329
Rmdn3,-0.33603,0.792219235
Mal,-0.546086,0.684875402
Pak7,0.410339,1.32899507
Dzank1,-0.488627,0.712701738
Cst3,-0.387049,0.76469063
Nrsn2,-0.689654,0.620002342
Xkr7,0.423623,1.341296806
Kcns1,-0.682425,0.62311413
Sulf2,-0.378709,0.769125268
Kcnb1,-0.666713,0.629939984
Cbln4,-1.59893,0.330122649
Pmepa1,-0.368288,0.774699922
Hrh3,-1.21739,0.430060999
B230312C02Rik,-1.22922,0.426548461
Kcnq2,-0.424396,0.745152171
Znf512b,0.378269,1.299778711
1110015O18Rik,-1.57846,0.334838859
Zfhx4,-1.03798,0.487010601
Fabp5,-0.447192,0.733469785
Car2,-0.374518,0.771362639
Eif5a2,-0.347168,0.786126167
Egfem1,-1.19159,0.437819658
Cldn11,-0.609827,0.655275443
Lhfp,0.34624,1.271242834
Stoml3,-2.02295,0.246054179
Mme,-0.947368,0.518577151
1110032F04Rik,-1.6854,0.310916597
Fstl5,0.540676,1.454651299
Sfrp2,-1.07678,0.474083269
Paqr6,-0.464838,0.724552474
Tchh,-0.872885,0.54605462
Tspan2,-0.312102,0.805467676
Fam212b,0.340906,1.266552425
Col11a1,-1.08553,0.471218524
Prss12,-1.40862,0.376670979
Ndst4,-2.54628,0.171196056
Col25a1,-1.96527,0.256091034
Etnppl,-0.548312,0.683820798
Tacr3,-3.68781,0.077599149
Ddit4l,-1.01463,0.494955045
Gbp3,0.528363,1.442289291
Slc44a5,1.25142,2.380760928
Pex5l,-0.478588,0.717681043
Trpc3,-0.394731,0.760631427
Ankrd50,0.392786,1.312921495
Pcdh18,-0.754634,0.59269829
Slc7a11,-0.344921,0.787351174
Maml3,0.392391,1.312567654
Sertm1,-1.84745,0.277881878
Gpr149,-2.98135,0.126626128
Shox2,-5.13037,0.028549921
Npy2r,-1.67169,0.313884745
Fhdc1,-0.451895,0.731077652
Dclk2,0.306675,1.236852856
Sema4a,-0.666374,0.630087929
Slc27a3,-0.982452,0.506119366
Npr1,-0.3923,0.761914296
Lor,-1.50694,0.351858419
Cgn,0.431893,1.349005638
"Bnipl,Gm128",-1.34153,0.394599583
Ampd2,-0.377064,0.770002727
5330417C22Rik,-0.870629,0.54690813
Ntng1,-0.552871,0.68166194
Gpr88,-1.07405,0.47498381
Ugt8a,-0.474735,0.719598581
Ccdc109b,-1.1741,0.44316046
Npnt,-0.643235,0.640274524
Ifi44,0.805428,1.747666368
Lrrc7,-1.00768,0.497344763
Lyn,0.381783,1.302954081
Chd7,0.306429,1.236638968
Gpr63,-0.576272,0.670698157
Epha7,0.459883,1.375430864
Tmem215,-3.89451,0.067241362
Car9,-2.15855,0.223981422
Grhpr,-0.424353,0.745172312
Tmeff1,-0.593332,0.662811216
"Akap2,Palm2",-0.297898,0.813439792
Zkscan16,-0.37233,0.772534302
Hook1,0.331134,1.258006547
Nfia,0.378434,1.299926084
Alg6,0.489666,1.404119919
Cachd1,-0.434703,0.739846328
Dhcr24,-0.34777,0.785799443
Agbl4,-0.846885,0.55598652
Trabd2b,-0.763218,0.589180921
Tal1,-1.92657,0.263053779
Hpcal4,-0.339331,0.790404308
Pou3f1,-1.13642,0.454885428
Epha10,-0.960451,0.513896353
Rspo1,-1.54324,0.343114413
Marcksl1,-0.598864,0.660275423
1700003M07Rik,-1.30803,0.403871581
Stmn1,-0.51575,0.699429179
Paqr7,-0.741482,0.598127371
Htr1d,-0.968855,0.510913188
Camk2n1,-0.403858,0.755834143
Padi2,-0.608808,0.655738163
Fbxo2,-0.478002,0.717973184
Plekhg5,-0.548336,0.683811453
Icmt,-0.412753,0.751188504
Chd5,-0.600284,0.659623765
AW011738,-0.386834,0.764806431
Tox,-1.29899,0.406412965
Necab1,0.579883,1.494731423
Pou3f2,-0.43842,0.737940958
Ankrd6,-0.542222,0.686713903
Lingo2,-0.68913,0.62022515
Shb,-0.61485,0.65299587
Gabbr2,-0.333189,0.793779441
Svep1,-0.52926,0.692910256
Susd1,-0.868571,0.54768861
Alad,-0.668704,0.629071882
Nfib,0.391329,1.311603675
Frem1,0.527581,1.44151295
Bnc2,-0.973096,0.509412857
Elavl2,-0.4429,0.735654129
Jun,0.317109,1.2458295
Kank4,-0.660705,0.632568593
Mroh7,-0.803168,0.57308859
Nasp,0.374462,1.296358472
Ptprf,-0.329627,0.795741708
Hpca,-0.434209,0.740099899
Hcrtr1,-1.82855,0.28154855
Oprd1,-0.827763,0.563402884
Extl1,-0.619056,0.651095887
Ephb2,0.366654,1.289353599
Alpl,-0.497953,0.708109916
Fam43b,-0.635898,0.643539685
Vwa5b1,-0.786678,0.579677341
Pax7,-4.84952,0.034685524
Klhdc7a,-0.377011,0.770033291
Tmem51,0.390173,1.310552451
Per3,-0.436863,0.73873853
Kcnab2,-0.491843,0.711115619
Ajap1,-0.44923,0.732433945
Isg15,0.818398,1.763451129
Sema3a,0.549867,1.463950005
Sema3c,-0.420328,0.747255419
Lrrc17,-1.07263,0.475452057
Ywhah,-0.443009,0.735598957
Ablim2,-0.388965,0.763674476
Drd5,-0.822624,0.565412844
Cd38,-0.347937,0.785707076
Slit2,-0.500372,0.706927143
Pcdh7,-0.802793,0.57323641
Nwd2,-0.355414,0.781645827
Shisa3,-1.07823,0.473609484
C530008M17Rik,-0.552745,0.681722093
Prdm8,0.491175,1.405584105
Arhgap24,-0.762008,0.589674968
Spp1,-0.480361,0.716799608
"A830010M20Rik,Btbd8",0.344823,1.26999166
Mn1,-1.23832,0.423865957
Fam222a,-0.396101,0.759912516
Oasl2,0.786378,1.724749268
Tesc,0.386411,1.307137538
Hrk,0.639667,1.557973783
Aacs,0.400047,1.319545723
Tmem132b,-0.666317,0.630113324
Tmem132c,0.354419,1.278470133
Mmp17,-0.674704,0.626463485
Gbas,0.300252,1.231359198
Stx1a,-1.217,0.430177233
Rasa4,0.413239,1.331670834
Vgf,-0.60528,0.657343188
Uncx,0.500891,1.415084944
Elfn1,-2.04321,0.2426231
Amz1,-0.631587,0.645467755
Grid2ip,-0.668786,0.62903646
Nptx2,-2.38663,0.191228038
Cdk14,-0.381669,0.767550132
Reln,0.327511,1.254843185
Kcnh2,-0.320947,0.800547635
Rbks,-1.14781,0.451310718
Sorcs2,-0.982565,0.506079646
Stk32b,-3.59533,0.08273682
Nsg1,-0.417601,0.748668908
Slc2a9,1.06197,2.087777962
Ldb2,-2.18143,0.220457621
Kcnip4,-0.365556,0.776168913
Kctd8,0.459932,1.375481514
Gabrg1,-0.399511,0.758114908
Prkg2,-1.50531,0.352254796
Barhl2,0.399676,1.319210837
Miat,-1.41517,0.37496804
Adrbk2,-0.354611,0.782081052
1700069L16Rik,-0.885731,0.541214627
Hspb8,-0.5403,0.687625929
Ccdc63,-1.39554,0.380101368
Rimbp2,-0.90098,0.535522272
Limk1,-0.514715,0.699932763
Sh2b2,0.696915,1.621033784
Agfg2,-0.348791,0.785237585
Radil,0.415397,1.33366621
Tmem130,-0.570981,0.673160342
Lnx2,0.448657,1.364769339
Tac1,-4.08337,0.058990821
Nxph1,-0.521493,0.696651828
Foxp2,-0.82164,0.565797649
Chrm2,-1.35572,0.390740251
Ephb6,-0.562771,0.677000464
Tmem176a,-0.684583,0.62218448
Npy,-0.670362,0.628347317
Tigd2,0.358671,1.282238223
Lrrtm4,-1.02629,0.490971934
Tacr1,-4.1066,0.05804864
Rtkn,-0.451674,0.73119384
1700003E16Rik,-0.609975,0.655205947
Efcc1,-0.953616,0.516338063
Slc6a6,-0.404723,0.755382784
