Gene name,Log2(Fold expression) (ATXN1[82Q] vs. WT),Fold Expression (ATXN1[82Q] vs. WT)
Ccno,-1.271481078,0.414234299
Cd24a,-0.472185007,0.720871987
Cd55,-0.548424205,0.68376657
Cd68,0.82390712,1.770193561
Cd82,-0.341966547,0.788965135
Cdh13,-0.571254917,0.673031103
Cdh15,0.441834957,1.358330884
Cdh9,-0.987167995,0.504467071
Cdhr1,-3.060129688,0.119897237
Cdhr3,-0.999728353,0.500094155
Cdkl4,-1.025012953,0.491405887
Cdkn1a,0.372028291,1.294171033
Celf6,-0.61686365,0.652086994
Cemip,0.381187004,1.302412999
Cep72,-0.76541023,0.588286066
Cep76,-0.961613006,0.513482493
Chd5,-0.418529132,0.748187033
Chn1,-0.524143344,0.695371891
Chrdl1,-0.482750204,0.715612154
Chrm3,-1.208527607,0.432710008
Chrna4,-0.892487551,0.538684496
Chst15,0.303462559,1.234102786
Chst8,-0.656618924,0.634363239
Chsy3,-1.680702822,0.31193064
Ciart,-0.647277521,0.638484047
Cldn1,-1.085636298,0.471184407
Cldn11,-0.423819527,0.745448439
Cldn2,-0.751214828,0.59410308
Clic6,-0.938658341,0.521717835
Clmn,-0.727486625,0.603955172
Clstn2,-0.51100171,0.701735031
Cmip,-0.297876667,0.813448735
Cnih3,-0.810231948,0.570290163
Cnksr1,1.1866251,2.276196486
Cnksr3,0.357591881,1.281285414
Cnnm4,0.357234563,1.280968113
Cntn3,-0.393637987,0.761207675
Cntn6,0.295970039,1.227710187
Cntnap5a,-0.986796945,0.504596833
Cntnap5b,-0.877245556,0.544405839
Cobl,-1.26921032,0.414886805
Col11a1,-0.973782049,0.509169515
Col18a1,-0.951333562,0.517154207
Col25a1,-1.081598396,0.472505034
Col5a1,-1.213678917,0.431167721
Col8a1,-0.987187785,0.504460151
Colec10,#DIV/0!,#DIV/0!
Colq,1.004708055,2.006537411
Comp,0.495456771,1.40976703
Corin,-0.890770476,0.539326013
Cox6b2,-1.770383472,0.293130812
Cpeb1,-0.522147301,0.69633464
Cpm,-0.420553014,0.747138176
Cpne4,-0.99165645,0.502900032
Cpne5,-4.044952032,0.060582628
Cpne6,-1.086795189,0.470806065
Cpne7,-2.267880244,0.207634741
Cpne9,-0.428215463,0.743180492
Creb5,0.512289797,1.426312195
Creg1,-0.811427921,0.569817597
Creg2,-0.825967201,0.564103893
Crhbp,-3.402274042,0.094583082
Crhr2,-1.178153161,0.441916848
Crlf1,-0.940552651,0.521033251
Ctsl,-0.28577062,0.820303324
Cttnbp2,-0.349959333,0.784606214
Ctxn1,-0.952896594,0.51659422
Cyb561,-0.552063036,0.682044116
Cyp27a1,-0.662335846,0.631854442
Cyp51,-0.282125086,0.822378763
Cyth3,-0.450204823,0.731938925
D430019H16Rik,-0.911665876,0.531570933
D430036J16Rik,-0.842319696,0.557746053
D8Ertd82e,0.551955541,1.466071577
Dagla,-0.92636765,0.526181471
Dao,0.283470393,1.217119137
Dap,-1.131939557,0.456301861
Dbh,-2.435057408,0.18491608
Dbndd1,-0.454475944,0.729775213
Dbndd2,-0.269937515,0.829355466
Dbp,-0.383757749,0.766438667
Dcc,-0.856132523,0.552431495
Ddn,-1.234345949,0.425035147
Dgkh,-1.092689112,0.468886578
Dgkk,-4.334512597,0.049565751
Dgkz,-0.451143044,0.731463082
Dhcr24,-0.34089603,0.789550785
Dleu7,-1.396187654,0.379931792
Dlgap2,-1.178955004,0.441671301
Dlk1,-2.055489098,0.240567041
Dnah6,-0.540680529,0.687446559
Dner,-0.581392464,0.668318417
Doc2b,-1.018349901,0.493680682
Dock10,-0.309578942,0.806877216
Dock5,-0.382948028,0.766868955
Dok6,-0.785264637,0.580245511
Dpp10,-0.295263005,0.814923757
Drd2,-2.431583973,0.185361821
Dsg2,-1.256697344,0.418500907
Dtx4,0.310170017,1.239853804
Dusp5,0.363942642,1.286938081
Dusp8,0.282968736,1.216695992
Dysf,-0.749832797,0.594672474
Ebf2,-0.634204871,0.644295815
Efcab1,-1.207594939,0.432989835
Egr3,-1.688813034,0.31018202
Eif2s3x,-0.352519696,0.783215002
Elfn1,-1.609087112,0.327805709
Elfn2,-0.752073049,0.593749768
Eln,-0.533913746,0.690678516
En1,-0.767466222,0.587448293
Enc1,-1.09817911,0.467105679
Enkur,-0.815074848,0.568378998
Enpp2,-0.728328617,0.603602791
Entpd3,-0.754590888,0.592714441
Eomes,0.661419579,1.581638154
Epb4.1l4a,-0.795288622,0.576227883
Ephb2,0.347610802,1.272451618
Ephb6,-0.557489093,0.679483728
Epor,-0.940884698,0.520913345
Eps8l2,-0.505180802,0.704572073
Erbb3,-0.49831212,0.707934544
Erdr1,0.432133243,1.349227139
Erp29,-0.418623948,0.748137863
Espn,-0.950317819,0.517518443
Etl4,-0.374857235,0.771181723
Etnppl,-1.08659845,0.470870273
F2r,-0.454737749,0.729642794
F5,-1.000044669,0.499984519
Fa2h,-0.344740878,0.787449397
Fabp7,0.493872438,1.408219707
Fam107b,-1.114815242,0.461750285
Fam163b,-0.66428943,0.630999414
Fam167a,-0.682878747,0.62292106
Fam174b,-0.445586068,0.734285966
Fam19a1,-1.447634167,0.366622144
Fam19a2,-1.016056884,0.494465962
Fam19a3,-0.827616932,0.563459205
Fam21,-0.615259635,0.652812399
Fam212b,0.351691584,1.276055947
Fam216b,-1.071372565,0.47586605
Fam222a,-0.332314446,0.794261266
Fam46a,-0.633085435,0.64479594
Fam65b,-0.460260743,0.72685488
Fam69b,-0.30677241,0.808448394
Fbln7,-0.745659095,0.596395346
Fbxo32,-0.356914086,0.780832991
Fgd3,-0.496178293,0.708982394
Fgf11,-0.46720214,0.723366083
Fgf18,-0.899312419,0.536142193
Fgf7,-1.613618819,0.326777641
Fibcd1,-2.00545014,0.249057344
Fkbp5,-0.398760148,0.758509866
Fmo2,-0.823161776,0.565201901
Fnbp1l,-0.331981338,0.794444677
Folr1,-1.022780821,0.492166777
Fos,0.821688102,1.767472908
Fosl2,0.863933263,1.819993456
Foxb1,-1.648203231,0.319037247
Foxj1,-0.535311864,0.690009503
Foxo3,0.277327638,1.211947864
Foxp4,-0.384831183,0.765868612
Fras1,-0.594884666,0.662097383
Frmd6,0.723538751,1.651227326
Fst,1.460963694,2.752921924
Fstl1,-0.334132798,0.793260821
Gabbr1,-0.646100663,0.639005094
Gabbr2,-0.496864327,0.708645337
Gabra3,-0.481541775,0.716211816
Gabra5,-2.140679665,0.226772929
Gabrq,-4.873095392,0.034123386
Gal3st3,-0.318278366,0.802026401
Galnt14,-0.74953403,0.594795637
Galnt15,0.55723943,1.471450928
Galr1,1.158250298,2.231865825
Garnl3,-0.699976814,0.6155821
Gata3,-2.947430292,0.129638821
Gchfr,-2.464315799,0.181203685
Gcnt1,0.995703416,1.994052531
Gda,-3.225276673,0.10692887
Gdf11,-0.530444251,0.692341507
Gfap,0.357039621,1.280795035
Gfra1,-0.620705278,0.650352917
Glcci1,0.279621457,1.213876339
Glra1,-1.761615938,0.294917648
Glra2,-0.768571079,0.586998581
Glra3,-2.927193258,0.13147011
Gm14446,-1.367295999,0.387617067
Gm16532,-0.920194943,0.528437611
Gm5083,-0.756298096,0.592013469
Gm6644,-0.721602312,0.606423551
Gm973,-1.242183347,0.422732417
Gm9866,-0.742770059,0.59759084
Gng13,-1.286084192,0.410062525
Gng4,-1.770762384,0.293053834
Gpc5,-0.652766436,0.636059469
Gpr101,-0.868915038,0.547558481
Gpr158,0.339910366,1.265677956
Gpr165,-1.17646701,0.44243364
Gpr26,-1.261603941,0.417080006
Gpr63,-1.095362536,0.4680185
Gpr83,-1.143203016,0.452753276
Gprc5c,0.352760167,1.277001454
Gpx3,-1.333753028,0.396734832
Greb1,-0.789490527,0.578548364
Grem2,-1.031876916,0.48907346
Grid2,-0.488129656,0.712948783
Grid2ip,-1.090278019,0.469670856
Grik1,-0.6018017,0.658930541
Grip2,-0.477153109,0.718393843
Grm5,-1.135204957,0.455270234
Grp,-1.985972946,0.252442558
Gsn,-0.324425804,0.798616174
H2-D1,-0.399206699,0.758275125
Hap1,-0.431935071,0.741266865
Hcrtr2,-1.043478985,0.485156133
Hdc,-0.76363585,0.589010048
Hif3a,-1.177451857,0.442131719
Hist1h3i,#DIV/0!,#DIV/0!
Hmgcs1,-0.304702683,0.809609047
Hmgcs2,0.466451179,1.381706486
Homer3,-0.654075751,0.635482477
Hpcal1,-0.718806204,0.607600009
Hpcal4,-0.411042258,0.752079846
Hr,0.326736696,1.254173286
Hrh3,-1.08344977,0.471899069
Hrk,0.801557941,1.742982327
Hs3st1,0.350050083,1.274604874
Hs3st3b1,-1.085468078,0.471239351
Hs3st4,-2.016168185,0.247213908
Hspa12a,-0.37822057,0.769385971
Htr1a,-2.154064608,0.22467872
Htr2c,-1.823747635,0.282486214
Htr7,-1.526285572,0.347170057
Icmt,-0.651524183,0.636607393
Id2,-0.48815935,0.712934109
Ier3,-0.779532306,0.582555616
Ifrd1,0.299207742,1.230468515
Igdcc3,0.620446972,1.537351405
Igfbp5,-0.564989189,0.675960482
Igsf1,-0.766351262,0.587902467
Igsf21,0.359824811,1.283270058
Il16,0.28569503,1.218997384
Il1rap,-0.395138292,0.760416482
Iltifb,-0.53187132,0.691657003
Impg2,-1.014063808,0.495149536
Ing3,0.309455369,1.239239787
Inpp4a,-0.391810663,0.762172435
Inpp5a,-0.58773647,0.665386052
Insig1,-0.274638973,0.826657159
Insm1,-1.001353775,0.499531037
Ipo5,-0.347753772,0.78580662
Iqca,-0.996955489,0.501056261
Irs2,0.365399188,1.28823803
Itgb1bp1,-0.414825955,0.750109982
Itpka,-0.797615713,0.575299167
Jup,0.339048885,1.264922403
Kalrn,-0.742695949,0.597621539
Kank2,0.286829084,1.219955974
Kank4,-0.459357622,0.72731003
Kcna4,-0.656029138,0.634622626
Kcna6,-0.502756783,0.705756892
Kcnab1,-0.588346218,0.665104889
Kcnc2,-1.576890403,0.335203611
Kcnc3,-0.382301684,0.767212598
Kcne2,-0.901918987,0.535174401
Kcnf1,-1.411636697,0.375885014
Kcng4,-0.451661138,0.731200449
Kcnh5,-1.124591975,0.458631714
Kcnip1,-0.644709545,0.639621551
Kcnip2,-1.175395668,0.442762313
Kcnj4,-1.222694049,0.428481836
Kcnj8,0.630832933,1.548458731
Kcnk1,0.340017847,1.265772252
Kcnma1,-0.503408402,0.705438196
Kcnmb4,-0.406460137,0.754472312
Kcnq5,-0.920370172,0.528373431
Kcnt2,-1.035906149,0.487709457
Kctd12,-0.856846337,0.552158231
Kif17,-0.608420152,0.655914579
Kitl,-0.282710835,0.822044937
Kl,-0.847547823,0.555728517
Klf10,-0.401400314,0.757123045
Klhl1,-0.470735806,0.721596474
Klhl14,-1.557819097,0.33966416
Klhl4,-0.306644897,0.808519852
Krt1,-1.044884046,0.484683863
Ksr2,-0.425240136,0.744714764
Lamc2,0.935261798,1.912237608
Lancl1,-0.396822156,0.759529468
Lbp,-0.782149574,0.58149973
Ldb2,-1.409134094,0.376537617
Lhpp,-0.641672464,0.640969465
Lhx1os,-0.51420563,0.700178355
Lhx2,-3.019433341,0.123327519
Lhx5,-0.558746257,0.678891884
Lhx9,-2.141560465,0.226634521
Lmo3,-1.239707882,0.42345839
Lonrf1,-0.451843208,0.731108177
Lonrf3,-0.44253633,0.735839828
Lor,-1.389840966,0.381606866
Lrfn2,-1.54029913,0.34381416
Lrp8,-0.331382754,0.794774366
Lrrc6,-1.735162491,0.300375179
Lrrc7,-0.614987956,0.652935344
Lrrfip1,-0.392530774,0.761792097
Lrriq1,-1.238583463,0.423788557
Lrrtm4,-0.670310752,0.628371323
Lrtm2,-0.327460751,0.796937919
Ltbp2,0.370316322,1.29263622
Ly6h,-0.400050973,0.757831507
Lypd6b,-0.770460225,0.586230435
Maats1,-1.169723594,0.444506496
Magel2,-1.723329629,0.302848962
Mak,-1.134688604,0.455433208
Mal,-0.400752218,0.757463241
Mal2,-0.61989137,0.650719923
Man1a,-0.48728635,0.713365648
43891,-0.584597988,0.666835128
Mast4,-0.356416711,0.781102232
Mcf2,-0.667434626,0.629625281
Mdfi,-1.624250485,0.324378367
Mdga1,0.422385874,1.340141999
Mdga2,-0.322804566,0.799514129
Meis2,-1.748675275,0.297574895
Mertk,-0.560967502,0.677847432
Mfap1a,0.754842104,1.687446899
Mfap1b,0.758114643,1.691278966
Mfsd2a,-0.778680029,0.582899864
Mgp,-0.391115966,0.76253953
Miat,-1.323180171,0.399653001
Mlf1,-0.878821128,0.543811615
Mlph,-1.036114351,0.487639078
Mmd,-0.31055656,0.806330635
Mme,-0.995789605,0.501461343
Mmp12,4.416927065,21.36129291
Mmp14,0.533906373,1.447844208
Mn1,-1.330530663,0.397621959
Mobp,-0.343379196,0.788192979
Mog,-0.445994699,0.734078015
Moxd1,0.607494833,1.523611237
Mpeg1,0.356496573,1.280313019
Mpp3,0.278493459,1.212927617
Mpped1,-0.724623798,0.605154826
Mprip,-0.328263182,0.796494783
Mrap2,-0.575577433,0.671017626
Mrgpre,-0.591382371,0.663706648
Mroh7,-0.853041455,0.553616384
Mtss1,-0.297961461,0.813400926
Mustn1,1.492823206,2.814391842
Mxi1,0.367400348,1.290026184
Mycl,-0.696627179,0.617013013
Myo10,-0.428762879,0.742898553
Myo15,-0.736250246,0.600297579
Myo5b,-0.875582355,0.545033815
Myof,-0.58149396,0.668271401
Myrf,-0.378050561,0.769476642
Nbl1,0.31505272,1.244057114
Ndst4,-2.228513812,0.213378421
Necab1,-0.330075545,0.795494828
Necab2,-1.870355678,0.273505988
Nek2,-0.9711614,0.51009526
Nell1,-0.836514154,0.559994998
Neu2,-3.412355365,0.093924454
Neurod1,0.356178055,1.280030383
Nfil3,0.485801314,1.400363451
Ngb,-2.693899032,0.154545223
Ngef,-0.615980741,0.652486184
Nkain1,0.28007153,1.214255087
Nlrp10,-1.232992704,0.425434016
Nog,-0.870786793,0.546848538
Npr1,-0.569184993,0.673997436
Npr3,-0.779365222,0.582623088
Nptx2,-1.143799301,0.452566185
Npy,-0.549767105,0.683130398
Npy1r,-0.768271038,0.587120673
Npy5r,-2.053996264,0.240816097
Nr4a1,0.659423482,1.57945133
Nr4a2,1.433227863,2.700502461
Nr4a3,2.194953742,4.578749829
Nr6a1,-0.427768211,0.743410922
Nrgn,-2.63364647,0.16113631
Nrsn1,-0.315960068,0.803316231
Nrsn2,-0.368773662,0.774440517
Nrxn3,0.32125488,1.24941684
Nsg1,-0.460720188,0.72662344
Nsg2,-0.412866981,0.751129216
Ntf3,0.656459413,1.576209622
Ntng2,0.647587245,1.566546121
Nts,-2.405979109,0.188680978
Nuak1,0.371491921,1.293689971
Nup93,-0.34250597,0.788670197
Olfm2,-0.520085451,0.697330529
Olig1,-0.377906714,0.769553368
Olig2,-0.363411921,0.777324061
Opalin,-0.41661336,0.74918122
Opn3,-1.036742189,0.487426911
Oprk1,-0.85675039,0.552194954
Oprl1,-0.397146969,0.759358484
Osbpl3,0.365735645,1.288538501
Ostn,-1.83744953,0.279816021
Otoa,-1.496072354,0.354517229
Otof,-1.110802001,0.463036555
P4ha2,-0.785521067,0.580142386
Pak6,-1.60791685,0.328071722
Palm2,-0.485699513,0.714150719
Pam,-0.284178511,0.821209083
Pappa,0.735163616,1.664586239
Paqr7,-0.514829158,0.699875806
Pcdh11x,-0.877510144,0.544306005
Pcdh15,-0.467860792,0.723035911
Pcdh17,-0.40374157,0.755895355
Pcdh18,-0.790776282,0.578032982
Pcdh19,-0.629640104,0.646337631
Pcdh7,-0.473540203,0.720195154
Pcdh8,-1.242993122,0.422495206
Pcp2,-0.442661258,0.735776112
Pcp4,-0.880205448,0.543290058
Pcp4l1,-0.352645177,0.783146883
Pde10a,0.296348673,1.228032441
Pde1c,0.433860279,1.350843253
Pde5a,-0.476634603,0.718652081
Pde9a,-0.416054525,0.749471475
Pdgfra,-0.32655574,0.797438
Pdyn,-3.467203427,0.09042068
Peg10,-0.365007458,0.776464861
Per1,0.519758814,1.433715543
Per2,-0.847252879,0.555842141
Per3,-0.292666629,0.816391672
Pgr,-0.377181238,0.769940445
Phlda3,-0.434978238,0.739704912
Pik3c2b,-0.397622117,0.759108432
Pkp3,-0.569670769,0.673770529
Plcb3,-0.926042812,0.526299959
Plcl1,-0.407643583,0.753853671
Plekhd1,-0.4240422,0.745333391
Plekhd1os,-1.186723757,0.439299342
Plekhg5,-0.683741611,0.622548607
Plxdc1,-0.634762906,0.644046649
Plxdc2,-0.318104043,0.802123317
Pnma2,-0.455894626,0.729057938
Pogk,-0.352366424,0.783298215
Polr3k,-0.362160367,0.777998691
Pou3f1,-0.895561348,0.537538
Pou3f2,-0.390056245,0.763099854
Ppapdc2,-0.456186715,0.728910347
Ppm1d,0.290501159,1.223065068
Ppm1j,-0.964833108,0.512337676
Ppp1r16b,-0.764581614,0.588624046
Ppp1r17,-0.475704235,0.719115676
Ppp1r1b,-0.514327205,0.700119355
Ppp1r36,-1.002200668,0.499237888
Ppp4r4,-0.48308809,0.715444574
Prkar2b,-0.571788522,0.672782217
Prkcg,-0.406628962,0.754384029
Prkg2,-1.074625243,0.474794378
Prlr,-1.258209261,0.418062556
Prmt8,-0.380680347,0.768075296
Prps2,-0.33688145,0.791750923
Prss12,-1.477753376,0.3590475
Psd2,-0.408312999,0.753503961
Ptger2,-1.267549472,0.415364703
Ptgfrn,-0.335153857,0.792699594
Ptk2b,-1.323326474,0.399612475
Ptpn5,-0.481076774,0.716442698
Ptprm,-0.544194852,0.685774016
Ptpro,-0.523337482,0.695760421
Ptprr,-0.376092125,0.770521904
Rab27b,-0.485414813,0.714291663
Rab3d,-0.499801741,0.70720396
Rasal1,-0.460284317,0.726843003
Rasd2,-0.408404798,0.753456017
Rasgrf2,-2.104489582,0.23253349
Rasgrp2,-0.663736008,0.631241514
Rbm24,-0.523704955,0.695583225
Rdh11,-0.452734273,0.730656755
Rell1,0.350979764,1.275426502
Resp18,-1.157702436,0.448225789
Rgs10,-0.366356115,0.775739347
Rgs16,-0.737565849,0.599750413
Rgs22,-1.012403012,0.495719868
Rgs8,-0.990532427,0.503292001
Rgs9,-0.891635438,0.539002758
Rhbdl3,-0.588550714,0.66501062
Rhobtb2,-0.715199848,0.609120748
Rhou,-0.409618882,0.752822221
Rims3,0.346651668,1.271605947
Rmdn3,-0.682624273,0.623030945
Rnf122,0.606191732,1.52223567
Rnf19b,-0.51532835,0.699633682
Robo2,-0.410246237,0.752494928
Rsph1,-0.725291603,0.604874773
Rsph4a,-1.102183334,0.465811017
Rtel1,-0.620044643,0.650650794
Rtkn,-0.345850613,0.786843917
Rtn4rl1,0.310270692,1.239940327
Ryr1,-0.306451527,0.808628229
Ryr3,0.316288477,1.245123182
Samd8,-0.458910476,0.727535486
Sbk1,-0.796398088,0.575784921
Scd1,-0.283789851,0.821430345
Scn3a,-1.201471815,0.434831447
Scn3b,-1.152906344,0.44971835
Scn4b,-0.496320722,0.708912404
Scube3,-1.099477238,0.466685569
Sdc1,0.389667783,1.310091688
Sema3a,0.35094548,1.275396193
Sema3b,-0.620059224,0.650644218
Sema3c,-0.416118156,0.74943842
Sema7a,-0.311706392,0.805688243
Serpinb2,-0.746876463,0.595892311
Sertm1,-1.43764842,0.369168556
Sfrp2,-1.006881051,0.497620888
Sfrp5,-1.565924651,0.337761161
Sh2d3c,0.318151885,1.246732442
Shank2,-0.556390385,0.680001397
Shisa3,-1.590480453,0.332060851
Shisa6,-0.549749277,0.683138839
Shisa7,-0.476415655,0.718761154
Shox2,#NUM!,0
Shroom2,-0.561525098,0.677585497
Six3,#NUM!,0
Slc10a4,-2.124411001,0.229344625
Slc17a6,-1.653079297,0.317960775
Slc1a6,-0.374274344,0.771493366
Slc20a1,-0.49707533,0.708541701
Slc20a2,0.311110219,1.240662078
Slc24a4,-1.285019288,0.410365318
Slc27a2,-1.40433247,0.377792909
Slc2a1,-0.285084574,0.820693497
Slc35c1,-0.417285165,0.748832437
Slc35d3,-1.482290933,0.35792
Slc38a8,-1.438868615,0.368856454
Slc4a1,1.002146614,2.002978055
Slc4a2,-0.314570715,0.804090218
Slc4a5,-0.565272048,0.675827964
Slc5a7,-2.542216716,0.171678738
Slc6a11,-1.05672622,0.480721682
Slc6a2,-2.480055862,0.179237466
Slc6a6,-0.578156401,0.669819183
Slc7a3,-1.160198136,0.44745108
Slc9a3,-0.902175255,0.535079345
Slit1,-2.594387463,0.165581401
Slitrk6,-1.389312675,0.38174663
Smad6,-0.994645745,0.501859091
Sncg,-1.264595757,0.416215975
Sorcs2,-0.520905588,0.696934226
Sostdc1,-0.786387191,0.579794201
Spag5,-0.742575021,0.597671634
Spats2l,-0.550358399,0.682850471
Spns2,-0.724686182,0.605128659
Spon2,1.659579821,3.159244995
Spry4,0.529774749,1.44370377
Srl,-0.919393863,0.528731116
Sst,-2.144212521,0.226218289
Sstr1,-0.945035232,0.519416867
Sstr2,-1.343761944,0.393991949
St3gal1,-0.802933526,0.573182502
Stac,-0.925720333,0.526417614
Stc1,-1.157160402,0.448394224
Steap1,-1.240071644,0.423351632
Stk17b,-0.871073304,0.546739948
Stk32a,-0.320229288,0.800942574
Stk32b,-2.971247996,0.127516161
Stk33,-1.319446436,0.400688654
Stra6,-0.676465857,0.625696155
Strip2,-0.481775999,0.716095547
Strn3,-0.437654901,0.738333795
Stx1a,-0.612728239,0.653958849
Stxbp6,-0.503367707,0.705458095
Sulf2,-0.454170372,0.729929801
Svil,-0.494591474,0.709762632
Sycp1,-0.3657223,0.776080225
Synm,-0.403754175,0.755888751
Syt16,-0.621252632,0.650106223
Syt5,-0.768515627,0.587021144
Tac1,-3.228272327,0.10670707
Tacr1,-3.036417293,0.121884173
Tacr3,-3.807690759,0.071411946
Tal1,-1.369431428,0.387043754
Tanc2,-0.390132974,0.76305927
Tcf7l2,-2.221226527,0.214458956
Tef,-0.377802579,0.769608918
Tekt1,-0.784890677,0.580395936
Tekt5,-1.067083711,0.477282812
Tenm4,-0.342057146,0.788915591
Tesc,0.378826567,1.300283824
Tex261,-0.301648377,0.811324873
Th,-0.885458827,0.541315338
Thbs1,0.483841722,1.398462649
Thsd7b,-1.221575299,0.428814234
Thy1,-0.316693958,0.802907693
Timp2,-0.551126019,0.682487241
Tle3,0.381959478,1.303110548
Tlx3,0.628019143,1.545441606
Tmeff1,-0.331697572,0.794600953
Tmem123,-0.397538989,0.759152174
Tmem130,-0.379855141,0.768514752
Tmem132b,-0.501748408,0.706250355
Tmem158,-0.542609685,0.686527927
Tmem178,0.274959388,1.209960028
Tmem200b,-0.802475292,0.573364588
Tmem63c,0.370496384,1.292797563
Tmem64,-0.302220668,0.811003099
Tmem72,-1.294443234,0.407693473
Tmem91,-0.703729246,0.613983059
Tmprss11a,-1.888815416,0.270028686
Tmtc1,-0.720077639,0.607064772
Tnfrsf21,-0.301929259,0.811166929
Tox,-0.686682958,0.621280657
Tox2,-1.062863364,0.478681062
Tpbg,-0.886152773,0.541055025
Tpd52l1,-1.013327282,0.495402385
Tph2,-2.22020957,0.214610182
Tpm2,-0.494396191,0.709858712
